127.0.0.1 - - [15/Apr/2024:09:32:08 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [15/Apr/2024:09:32:09 +0530] "GET /web/registration.jsp HTTP/1.1" 200 4234
0:0:0:0:0:0:0:1 - - [15/Apr/2024:09:32:09 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [15/Apr/2024:09:32:16 +0530] "GET /web/registration.jsp HTTP/1.1" 200 4234
0:0:0:0:0:0:0:1 - - [15/Apr/2024:09:32:17 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [15/Apr/2024:09:32:20 +0530] "GET /web/user_interface.jsp HTTP/1.1" 200 11512
0:0:0:0:0:0:0:1 - - [15/Apr/2024:09:32:20 +0530] "GET /web/images/c1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Apr/2024:09:32:20 +0530] "GET /web/images/c2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Apr/2024:09:32:20 +0530] "GET /web/images/c3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Apr/2024:09:32:20 +0530] "GET /web/images/homwach.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Apr/2024:09:32:20 +0530] "GET /web/images/2.jpg.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Apr/2024:09:32:22 +0530] "GET /web/registration.jsp HTTP/1.1" 200 4234
0:0:0:0:0:0:0:1 - - [15/Apr/2024:09:32:39 +0530] "GET /web/registration.jsp HTTP/1.1" 200 4345
0:0:0:0:0:0:0:1 - - [15/Apr/2024:09:32:39 +0530] "GET /web/images/singwall.jpg HTTP/1.1" 200 982608
0:0:0:0:0:0:0:1 - - [15/Apr/2024:09:33:03 +0530] "GET /web/registration.jsp HTTP/1.1" 200 4345
0:0:0:0:0:0:0:1 - - [15/Apr/2024:09:33:03 +0530] "GET /web/images/singwall.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Apr/2024:09:33:29 +0530] "GET /web/user_interface.jsp HTTP/1.1" 200 11512
0:0:0:0:0:0:0:1 - - [15/Apr/2024:09:33:31 +0530] "GET /web/login.jsp HTTP/1.1" 200 4035
0:0:0:0:0:0:0:1 - - [15/Apr/2024:09:33:31 +0530] "GET /web/images/log2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Apr/2024:09:33:33 +0530] "GET /web/registration.jsp HTTP/1.1" 200 4345
0:0:0:0:0:0:0:1 - - [15/Apr/2024:09:33:33 +0530] "GET /web/images/singwall.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Apr/2024:09:33:35 +0530] "GET /web/user_interface.jsp HTTP/1.1" 200 11512
0:0:0:0:0:0:0:1 - - [15/Apr/2024:09:33:36 +0530] "GET /web/login.jsp HTTP/1.1" 200 4035
0:0:0:0:0:0:0:1 - - [15/Apr/2024:09:33:38 +0530] "POST /web/LoginS HTTP/1.1" 200 119
0:0:0:0:0:0:0:1 - - [15/Apr/2024:09:33:40 +0530] "GET /web/login.jsp HTTP/1.1" 200 4035
0:0:0:0:0:0:0:1 - - [15/Apr/2024:09:33:48 +0530] "POST /web/LoginS HTTP/1.1" 200 119
0:0:0:0:0:0:0:1 - - [15/Apr/2024:09:33:50 +0530] "GET /web/login.jsp HTTP/1.1" 200 4035
0:0:0:0:0:0:0:1 - - [15/Apr/2024:09:33:51 +0530] "GET /web/registration.jsp HTTP/1.1" 200 4345
0:0:0:0:0:0:0:1 - - [15/Apr/2024:09:33:51 +0530] "GET /web/images/singwall.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Apr/2024:09:34:21 +0530] "POST /web/Adduser HTTP/1.1" 200 4035
0:0:0:0:0:0:0:1 - - [15/Apr/2024:09:34:26 +0530] "GET /web/user_interface.jsp HTTP/1.1" 200 11512
0:0:0:0:0:0:0:1 - - [15/Apr/2024:09:34:27 +0530] "GET /web/registration.jsp HTTP/1.1" 200 4345
0:0:0:0:0:0:0:1 - - [15/Apr/2024:09:34:27 +0530] "GET /web/images/singwall.jpg HTTP/1.1" 304 -
